name,chinese,english,math,history,health
student1,61,83,53,72,63
student2,59,69,61,53,66
student3,77,51,82,68,93
student4,60,92,77,54,72
student5,100,52,75,77,61
student6,86,56,60,69,66
student7,77,66,69,86,81
student8,89,75,69,65,81
student9,78,53,98,65,97
student10,95,91,97,78,90
student11,53,93,91,75,65
student12,66,94,88,79,77
student13,100,67,78,51,78
student14,99,98,80,92,60
student15,75,85,75,98,88
student16,84,57,60,94,56
student17,79,81,52,76,65
student18,62,83,65,87,78
student19,95,83,63,94,100
student20,64,66,79,96,82
student21,88,72,60,93,86
student22,96,95,71,54,55
student23,74,79,59,60,72
student24,100,80,100,96,92
student25,95,67,64,91,64
student26,84,83,94,68,52
student27,61,51,68,92,87
student28,74,99,94,85,88
student29,66,51,59,98,86
student30,67,62,93,98,61
student31,100,73,75,97,63
student32,79,93,100,97,53
student33,99,96,83,86,92
student34,50,85,52,80,94
student35,50,72,81,58,59
student36,75,50,86,89,98
student37,73,96,69,97,98
student38,88,72,62,89,100
student39,97,77,71,95,69
student40,53,60,74,75,50
student41,66,85,70,98,56
student42,69,62,70,94,75
student43,88,76,68,72,82
student44,92,68,67,83,75
student45,78,96,85,95,92
student46,74,56,57,78,51
student47,87,76,81,63,54
student48,89,60,78,79,64
student49,79,88,70,82,61
student50,70,58,66,58,63
